iata_code,latitude,longitude,country_code,country_name,city_code_list,city_name_list
PIA,36.85507,-84.85606,US,United States,EKQ,Wayne County Airport
RRL,32.83,-84.85,US,United States,PIM,Harris County Airport
SQI,39.75,-84.85,US,United States,RID,Richmond Municipal Airport
SPI,9.97625,-84.83836,CR,Costa Rica,JAP,Puntarenas=Chacarita
DON,15.83,-84.83,HN,Honduras,BHG,Brus Laguna
UAX,42.57448,-84.81138,US,United States,FPK,Fitch H Beach Airport
CWA,45.570927,-84.796715,US,United States,PLN,Pellston
MID,47.966667,-84.786667,CA,Canada,YXZ,Wawa
BDF,13.73321,-84.77725,NI,Nicaragua,SIU,Siuna
QJC,49.21451,-84.77617,CA,Canada,YHN,Hornepayne
AUW,43.59781,-84.76751,US,United States,MOP,Mount Pleasant
FEP,11.03333,-84.71667,CR,Costa Rica,LSL,Los Chiles
SCY,10.46215,-84.70322,CR,Costa Rica,FON,La Fortuna=Arenal Volcano
TKM,45.02,-84.7,US,United States,GLR,Gaylord Regional Airport
EFT,35.86563,-84.68494,US,United States,RKW,Rockwood
SIK,39.048836,-84.667822,US,United States,CVG,Cincinnati
YAX,43.38,-84.65,US,United States,AMN,Gratiot Community Airport
STE,45.87,-84.63,US,United States,MCD,Mackinac Island
CGI,72.98103,-84.61198,CA,Canada,YSR,Nanisivik
CIQ,35.45,-84.6,US,United States,MMI,Athens
OSX,30.9,-84.6,US,United States,BGE,Bainbridge
UOX,13.95,-84.6,NI,Nicaragua,BZA,Bonanza
RHI,37.08,-84.6,US,United States,SME,Lake Cumberland Regional Airport
HSA,42.73254,-84.55553,US,United States,LAN,Lansing
PON,33.9526,-84.54993,US,United States,MGE,Marietta
GRE,40.20438,-84.53388,US,United States,VES,Darke County Airport
MSN,33.779139,-84.521361,US,United States,ATL,Atlanta
PIB,46.485,-84.50944,CA,Canada,YAM,Sault Ste. Marie
YQT,46.48,-84.5,CA,Canada,XLY,Aldershot ON CA Railway Statio
WNN,39.43,-84.5,US,United States,HAO,Butler County Regional Airport
HBG,43.98085,-84.4864,US,United States,GDW,Gladwin
EGV,11.68758,-84.45616,NI,Nicaragua,NVG,Nueva Guinea
MDH,15.43,-84.42,HN,Honduras,AHS,Ahuas Airport
SAL,39.52,-84.42,US,United States,MWO,Middletown Regional/Hook Field Airport
CIR,-13.88,-84.4,NI,Nicaragua,RFS,Rosita Airport
RUY,41.28,-84.37,US,United States,DFI,Defiance
MCR,33.62205,-84.36909,US,United States,FOP,Forest Park
ENL,30.396528,-84.350333,US,United States,TLH,Tallahassee
VYS,39.59131,-84.22844,US,United States,DAY,Dayton
LUL,9.993861,-84.208806,CR,Costa Rica,SJO,San José
ZRF,31.53545,-84.19435,US,United States,ABY,Albany
RFD,40.56783,-84.19356,US,United States,AXV,Wapakoneta
RMC,44.24,-84.18,US,United States,WBK,West Branch Community Airport
GPT,9.42357,-84.16522,CR,Costa Rica,XQP,Quepos
VLA,22.09999,-84.15708,CU,Cuba,SNJ,San Julián
SQS,40.74255,-84.10523,US,United States,AOH,Lima
LMS,46.42,-84.09,CA,Canada,YEB,Bar River
UCY,43.53211,-84.0877,US,United States,MBS,Saginaw
YYW,37.12898,-84.08326,US,United States,LOZ,London
JVL,14.58,-84.08,NI,Nicaragua,WSP,Waspam
MWA,41.86921,-84.07467,US,United States,ADG,Adrian
PCH,35.810972,-83.994028,US,United States,TYS,Knoxville
ZRK,30.83,-83.98,US,United States,TVI,Thomasville Regional Airport
DEC,10.33,-83.88,CR,Costa Rica,RFR,Rio Frio / Progreso Airport
LCF,35.96258,-83.8749,US,United States,DKX,Knoxville Downtown Island Airport
SLO,43.42984,-83.86095,US,United States,HYX,Saginaw County H.W. Browne Airport
BIX,31.52,-83.83,US,United States,SYV,Sylvester GA US
MKL,39.44534,-83.82854,US,United States,ILN,Wilmington
BMI,41.59247,-83.80606,US,United States,TOL,Toledo
MVN,31.08,-83.8,US,United States,MGR,Moultrie
NJW,11.99096,-83.77409,NI,Nicaragua,BEF,Bluefields
PND,10.22,-83.77,CR,Costa Rica,GPL,Guapiles Airport
SDH,15.22,-83.77,HN,Honduras,PEU,Puerto Lempira
BCV,46.02,-83.75,US,United States,DRE,Drummond Island Airport
PAH,42.22282,-83.7455,US,United States,ARB,Ann Arbor
TUP,42.965425,-83.743631,US,United States,FNT,Flint
CLI,22.4175,-83.69806,CU,Cuba,LCL,Pinar del Río
MEI,49.7142,-83.6861,CA,Canada,YHF,Hearst
RYV,33.98,-83.67,US,United States,WDR,Barrow County Airport
DKB,41.02,-83.67,US,United States,FDY,Findlay
UNU,8.7,-83.66667,CR,Costa Rica,DRK,Drake Bay
FSN,41.73588,-83.65327,US,United States,DUH,Toledo Suburban Airport
XKS,32.68,-83.65,US,United States,MCN,Macon
NMM,15.32,-83.6,HN,Honduras,CDD,Cauquira
PBR,10.7718,-83.5991,CR,Costa Rica,BCL,Colorado=Barra del Colorado
CRX,45.078068,-83.560287,US,United States,APN,Alpena
GTR,10.569,-83.5148,CR,Costa Rica,TTQ,Tortuguero
CMX,35.71426,-83.51016,US,United States,GKT,Gatlinburg
HTL,31.45046,-83.5085,US,United States,TMA,Tifton
CZA,44.27946,-83.49025,US,United States,ECA,East Tawas
ORZ,8.95028,-83.46811,CR,Costa Rica,PMZ,Palmar Sur
OSH,43.49134,-83.43987,US,United States,TZC,Caro=Tuscola County
PGL,42.6655,-83.420083,US,United States,PTK,Pontiac
HSB,47.84053,-83.4034,CA,Canada,YLD,Chapleau
SUR,14.03507,-83.38882,NI,Nicaragua,PUZ,Puerto Cabezas
GAC,42.25,-83.38,US,United States,DTT,Detroit
ATW,44.45,-83.38,US,United States,OSC,Oscoda
FLD,36.17862,-83.37663,US,United States,MOR,Morristown
STU,64.193333,-83.359444,CA,Canada,YZS,Coral Harbour
EDQ,9.17189,-83.33417,CR,Costa Rica,BAI,Buenos Aires
SVK,34.57732,-83.33239,US,United States,TOC,Toccoa
CBM,8.55,-83.32,CR,Costa Rica,PJM,Puerto Jimenez Airport
INB,30.7825,-83.276722,US,United States,VLD,Valdosta
DTG,33.15421,-83.24282,US,United States,MLJ,Milledgeville
MOX,42.3,-83.23,US,United States,DEO,Dearborn MI US Hyatt Regency
QPX,8.653775,-83.180544,CR,Costa Rica,GLF,Golfito
UBS,32.21406,-83.12793,US,United States,EZM,Eastman-Dodge County Airport
XES,29.6344,-83.12513,US,United States,CTY,Cross City
BGK,12.08,-83.07,NI,Nicaragua,RNI,Corn Island
CZH,9.99074,-83.03596,CR,Costa Rica,LIO,Limón
FWC,29.13858,-83.03512,US,United States,CDK,Cedar Key
PHT,42.62614,-83.03354,US,United States,UIZ,Macomb County=Utica
CEY,38.73174,-82.99767,US,United States,PMH,Portsmouth
PLJ,32.56406,-82.98653,US,United States,DBN,Dublin
CTM,8.82079,-82.97092,CR,Costa Rica,TOO,San Vito
AUZ,8.601556,-82.968614,CR,Costa Rica,OTR,Coto 47 Airport
MDB,42.27032,-82.96201,CA,Canada,YQG,Windsor
BZE,21.63139,-82.95972,CU,Cuba,SZJ,Siguanea
MTO,76.42,-82.93,CA,Canada,YGZ,Grise Fiord
CMI,32.09349,-82.88252,US,United States,MQW,Telfair-Wheeler Airport
DPA,34.67,-82.88,US,United States,CEU,Clemson
ISQ,24.62,-82.87,US,United States,RBN,Fort Jefferson
MOB,8.26806,-82.8649,PA,Panama,AML,Puerto Armuelles
DGA,36.16316,-82.83099,US,United States,GCY,Greeneville
UES,27.96585,-82.8001,US,United States,CLW,Clearwater
AIV,40.73,-82.8,US,United States,GQQ,Galion
QFP,21.88333,-82.8,CU,Cuba,GER,Nueva Gerona
QZW,34.494583,-82.709389,US,United States,AND,Anderson County Airport
QZX,41.44894,-82.70796,US,United States,SKY,Sandusky
QZY,34.88345,-82.70736,US,United States,LQK,Pickens
TZA,27.91017,-82.68739,US,United States,TPA,Tampa
ETB,30.18968,-82.63929,US,United States,LCQ,Lake City
OLY,46.38336,-82.63315,CA,Canada,YEL,Elliot Lake
TZM,27.75,-82.63,US,United States,SPG,Albert Whitted Airport
LEZ,36.97593,-82.57571,US,United States,LNP,Wise
QMX,45.88391,-82.5708,CA,Canada,YZE,Gore Bay
SJX,38.366667,-82.558028,US,United States,HTS,Huntington
GRB,27.395444,-82.554389,US,United States,SRQ,Sarasota / Bradenton International Airport
IMT,35.60095,-82.55402,US,United States,AVL,Asheville
NOH,42.9,-82.53,US,United States,PHN,Port Huron
JOT,27.64272,-82.52164,US,United States,MZE,Manatee County
BFM,9.458636,-82.516806,PA,Panama,CHX,Changuinola
LOT,40.821417,-82.516639,US,United States,MFD,Mansfield Lahm Regional Airport
JMH,49.413889,-82.4675,CA,Canada,YYU,Kapuskasing
QMY,27.09978,-82.45426,US,United States,VNC,Venice
CYC,8.391003,-82.434992,PA,Panama,DAV,David
MRJ,52.92774,-82.41669,CA,Canada,YAT,Attawapiskat
MWC,22.98915,-82.40909,CU,Cuba,HAV,Havana
CUK,36.475222,-82.407417,US,United States,TRI,Tri-Cities Regional Airport
SAP,42.97866,-82.40407,CA,Canada,YZR,Sarnia
HAB,32.22,-82.4,US,United States,VDI,Vidalia Regional Airport
JLH,31.25,-82.4,US,United States,AYS,Waycross
YFH,26.87,-82.27,US,United States,RTD,Rotunda
SPR,9.34085,-82.25084,PA,Panama,BOC,Bocas del Toro
QHO,42.41224,-82.18494,CA,Canada,XCM,Chatham=Kent
ENW,28.23362,-82.18119,US,United States,ZPH,Zephyrhills
YLH,41.34106,-82.17654,US,United States,LPR,Lorain County Regional Airport
LLH,42.95,-82.12,CA,Canada,XWY,Wyoming
ZTV,33.47,-82.04,US,United States,AGS,Augusta
MKE,36.68,-82.03,US,United States,VJI,Virginia Highlands Airport
ORD,27.988917,-82.018555,US,United States,LAL,Lakeland
PWK,39.94035,-82.01319,US,United States,ZZV,Zanesville
IKK,34.91623,-81.95733,US,United States,SPA,Spartanburg
SBM,40.80506,-81.93514,US,United States,BJJ,Wooster
ZUK,35.43012,-81.9351,US,United States,FQD,Rutherford County Airport
OBK,22.7561,-81.9209,CU,Cuba,QSN,San Nicolás de Bari
UGN,42.95008,-81.88309,CA,Canada,XWA,Warwick
NBU,30.33,-81.88,US,United States,NEN,Whitehouse FL US Olf Usn
RAC,26.58674,-81.86286,US,United States,FMY,Fort Myers
ZWV,45.84321,-81.8569,CA,Canada,YEM,Manitowaning
MDW,41.411689,-81.849794,US,United States,CLE,Cleveland
QXX,27.89641,-81.84314,US,United States,BOW,Bartow
QXY,28.83,-81.82,US,United States,LEE,Leesburg International Airport
GUF,69.365,-81.81746,CA,Canada,YGT,Igloolik
EHR,26.14204,-81.79481,US,United States,APF,Naples
NHX,32.44879,-81.78317,US,United States,TBR,Statesboro
LWV,24.5557,-81.78259,US,United States,EYW,Key West
MTW,28.07,-81.75,US,United States,GIF,Winter Haven
MSL,42.75,-81.73,CA,Canada,XZC,Glencoe ON CA Railway Station
CHI,35.75,-81.72,US,United States,MRN,Foothills Regional Airport
XPL,25.93,-81.72,US,United States,MRK,Marco Island
YER,33.56042,-81.71955,US,United States,AIK,Aiken
MNM,43.76235,-81.7115,CA,Canada,YGD,Goderich Airport
QPY,52.2825,-81.6778,CA,Canada,ZKE,Kashechewan
ENQ,42.95,-81.67,CA,Canada,XTY,Strathroy
TCL,52.19998,-81.66664,CA,Canada,YFA,Fort Albany
CGX,31.78,-81.64,US,United States,LIY,Ft. Stewart
ZUN,44.18339,-81.63307,CA,Canada,YKD,Kincardine
DNV,38.34982,-81.63262,US,United States,CRW,Charleston
EVV,38.35,-81.63,US,United States,GWV,Glendale WV US
OEA,35.25513,-81.60148,US,United States,EHO,Shelby Municipal Airport
HOP,23.04111,-81.5775,CU,Cuba,QMA,Matanzas
TEA,39.26674,-81.56151,US,United States,PKB,Parkersburg
GHM,21.61645,-81.54599,CU,Cuba,CYO,Cayo Largo
TUY,27.6,-81.52,US,United States,AVO,Avon Park Executive Airport
KKT,31.14995,-81.49149,US,United States,SSI,Brunswick
OTN,31.26,-81.47,US,United States,NEA,Glynco
CKV,30.61598,-81.46269,US,United States,FHB,Fernandina Beach Municipal Airport
SUE,40.48979,-81.44567,US,United States,PHD,New Philadelphia
HUF,27.49559,-81.44091,US,United States,SEF,Sebring
GYY,28.28,-81.43,US,United States,ISM,Kissimmee Memorial Hospital Heliport
SIV,27.5,-81.43,US,United States,NRB,Mayport FL US Ns
MQT,26.42,-81.42,US,United States,IMM,Immokalee
VTA,41.63,-81.42,US,United States,LNN,Willoughby Lost Nation Municipal Airport
YWP,35.741147,-81.38955,US,United States,HKY,Hickory Regional Airport
NDP,33.25955,-81.38083,US,United States,BNL,Barnwell
NUN,48.5692,-81.37479,CA,Canada,YTS,Timmins
SCD,19.2866,-81.37436,KY,Cayman Islands,GCM,Grand Cayman=George Town
TGU,13.356944,-81.35833,CO,Colombia,PVA,El Embrujo Airport
PNS,28.53,-81.35,US,United States,ORL,Orlando
MRC,29.95,-81.33,US,United States,UST,Northeast Florida Regional Airport
OWB,-4.57722,-81.27194,PE,Peru,TYL,Talara
